Date;Investor;Type;Trans;Volume;TurnOver
06/02/2011;Egyptians;Retail;Buy;100290397;430164078
06/02/2011;Egyptians;Retail;Sell;98363623;360591565
06/02/2011;Egyptians;institutions;Buy;13643427;76468227
06/02/2011;Egyptians;institutions;Sell;11734456;84153941
06/05/2011;Foreigners;Retail;Buy;416325;631076
06/05/2011;Foreigners;Retail;Sell;278106;627377
06/05/2011;Foreigners;institutions;Buy;5634127;42730187
06/05/2011;Foreigners;institutions;Sell;4930282;58699907
06/05/2011;Arabs;Retail;Buy;1465614;7432291
06/05/2011;Arabs;Retail;Sell;2308798;7806144
06/05/2011;Arabs;institutions;Buy;5712106;31803731
06/05/2011;Arabs;institutions;Sell;519461;3051490
06/05/2011;Egyptians;Retail;Buy;84774846;276650248
06/05/2011;Egyptians;Retail;Sell;87018940;278454112
06/05/2011;Egyptians;institutions;Buy;2285713;21205104
06/05/2011;Egyptians;institutions;Sell;5233144;31813606
06/06/2011;Foreigners;Retail;Buy;248773;1584916
06/06/2011;Foreigners;Retail;Sell;327905;1211765
06/06/2011;Foreigners;institutions;Buy;8540344;147259254
06/06/2011;Foreigners;institutions;Sell;12155759;170088932
06/06/2011;Arabs;Retail;Buy;1838082;8453622
06/06/2011;Arabs;Retail;Sell;1706087;9309472
06/06/2011;Arabs;institutions;Buy;816748;6032313
06/06/2011;Arabs;institutions;Sell;801960;8176660
06/06/2011;Egyptians;Retail;Buy;66665972;272252495
06/06/2011;Egyptians;Retail;Sell;68526332;274085623
06/06/2011;Egyptians;institutions;Buy;9345942;46320295
06/06/2011;Egyptians;institutions;Sell;3937818;19030445
06/07/2011;Foreigners;Retail;Buy;740305;1989316
06/07/2011;Foreigners;Retail;Sell;234457;921378
06/07/2011;Foreigners;institutions;Buy;11788409;236121201
06/07/2011;Foreigners;institutions;Sell;20485352;274704952
06/07/2011;Arabs;Retail;Buy;1907631;10729025
06/07/2011;Arabs;Retail;Sell;977381;6671458
06/07/2011;Arabs;institutions;Buy;4525507;28936303
06/07/2011;Arabs;institutions;Sell;1656591;19388538
06/07/2011;Egyptians;Retail;Buy;69259644;303876178
06/07/2011;Egyptians;Retail;Sell;65420298;276204338
06/07/2011;Egyptians;institutions;Buy;4476695;27500609
06/07/2011;Egyptians;institutions;Sell;3924112;31261970
06/08/2011;Foreigners;Retail;Buy;744063;2491748
06/08/2011;Foreigners;Retail;Sell;454335;2807318
06/08/2011;Foreigners;institutions;Buy;16955540;209225830
06/08/2011;Foreigners;institutions;Sell;17004824;208799815
06/08/2011;Arabs;Retail;Buy;1413682;11026472
06/08/2011;Arabs;Retail;Sell;1627761;11080242
06/08/2011;Arabs;institutions;Buy;4656684;10363765
06/08/2011;Arabs;institutions;Sell;1529612;12069547
06/08/2011;Egyptians;Retail;Buy;53128123;260734492
06/08/2011;Egyptians;Retail;Sell;55475271;249191403
06/08/2011;Egyptians;institutions;Buy;4085407;33378926
06/08/2011;Egyptians;institutions;Sell;4891696;43272907
06/09/2011;Foreigners;Retail;Buy;637509;1644118
06/09/2011;Foreigners;Retail;Sell;746449;1866637
06/09/2011;Foreigners;institutions;Buy;7796670;81354732
06/09/2011;Foreigners;institutions;Sell;13005239;123305424
06/09/2011;Arabs;Retail;Buy;2316552;12076233
06/09/2011;Arabs;Retail;Sell;2769819;11878373
06/09/2011;Arabs;institutions;Buy;2939414;13990949
06/09/2011;Arabs;institutions;Sell;1540848;9623477
06/09/2011;Egyptians;Retail;Buy;85302737;327832012
06/09/2011;Egyptians;Retail;Sell;82925963;297594266
06/09/2011;Egyptians;institutions;Buy;8254961;55708954
06/09/2011;Egyptians;institutions;Sell;6259525;48338819
06/12/2011;Foreigners;Retail;Buy;2204069;5214302
06/12/2011;Foreigners;Retail;Sell;539001;1259122
06/12/2011;Foreigners;institutions;Buy;5283790;43046367
06/12/2011;Foreigners;institutions;Sell;4771770;31387778
06/12/2011;Arabs;Retail;Buy;1147168;6473475
06/12/2011;Arabs;Retail;Sell;1341985;7445487
06/12/2011;Arabs;institutions;Buy;3641958;8792860
06/12/2011;Arabs;institutions;Sell;9084116;35671761
06/12/2011;Egyptians;Retail;Buy;94092796;329199945
06/12/2011;Egyptians;Retail;Sell;84243484;282410085
06/12/2011;Egyptians;institutions;Buy;9982826;35466876
06/12/2011;Egyptians;institutions;Sell;16372251;70019592
13/06/2011;Foreigners;Retail;Buy;2038749;13326758
13/06/2011;Foreigners;Retail;Sell;836347;2299891
13/06/2011;Foreigners;institutions;Buy;5803626;50340615
13/06/2011;Foreigners;institutions;Sell;13089263;91598363
13/06/2011;Arabs;Retail;Buy;1967429;10097646
13/06/2011;Arabs;Retail;Sell;3410168;14276735
13/06/2011;Arabs;institutions;Buy;5075392;18706616
13/06/2011;Arabs;institutions;Sell;1885201;11690702
13/06/2011;Egyptians;Retail;Buy;118133740;423868761
13/06/2011;Egyptians;Retail;Sell;116766850;402748197
13/06/2011;Egyptians;institutions;Buy;14245424;55953226
13/06/2011;Egyptians;institutions;Sell;11276531;49679733
14/06/2011;Foreigners;Retail;Buy;1898031;5899782
14/06/2011;Foreigners;Retail;Sell;990578;3176362
14/06/2011;Foreigners;institutions;Buy;9583173;104449376
14/06/2011;Foreigners;institutions;Sell;10622404;115326924
14/06/2011;Arabs;Retail;Buy;3200340;19621543
14/06/2011;Arabs;Retail;Sell;3904872;17174946
14/06/2011;Arabs;institutions;Buy;2525915;11573620
14/06/2011;Arabs;institutions;Sell;6767808;16330701
14/06/2011;Egyptians;Retail;Buy;120029090;449468902
14/06/2011;Egyptians;Retail;Sell;117987035;434837790
14/06/2011;Egyptians;institutions;Buy;13377520;54238482
14/06/2011;Egyptians;institutions;Sell;10341372;58404981
15/06/2011;Foreigners;Retail;Buy;1474785;4511115
15/06/2011;Foreigners;Retail;Sell;3126100;15907895
15/06/2011;Foreigners;institutions;Buy;3442629;40559868
15/06/2011;Foreigners;institutions;Sell;6074955;75833910
15/06/2011;Arabs;Retail;Buy;2152031;10655291
15/06/2011;Arabs;Retail;Sell;2067635;9157764
15/06/2011;Arabs;institutions;Buy;1792680;9618806
15/06/2011;Arabs;institutions;Sell;2618803;9320319
15/06/2011;Egyptians;Retail;Buy;110582013;377249228
15/06/2011;Egyptians;Retail;Sell;102298048;332956737
15/06/2011;Egyptians;institutions;Buy;5432100;41978197
15/06/2011;Egyptians;institutions;Sell;8690697;41395881
16/06/2011;Foreigners;Retail;Buy;2021642;3195349
16/06/2011;Foreigners;Retail;Sell;2090404;6659055
16/06/2011;Foreigners;institutions;Buy;11468043;90515432
16/06/2011;Foreigners;institutions;Sell;13005478;170175031
16/06/2011;Arabs;Retail;Buy;3973526;14640187
16/06/2011;Arabs;Retail;Sell;3509503;12994225
16/06/2011;Arabs;institutions;Buy;2963303;20662769
16/06/2011;Arabs;institutions;Sell;6471190;28280039
16/06/2011;Egyptians;Retail;Buy;138220475;462048340
16/06/2011;Egyptians;Retail;Sell;132209340;405501183
16/06/2011;Egyptians;institutions;Buy;12887183;92340743
16/06/2011;Egyptians;institutions;Sell;14248257;59793287
19/06/2011;Foreigners;Retail;Buy;317324;2704666
19/06/2011;Foreigners;Retail;Sell;2142504;5250467
19/06/2011;Foreigners;institutions;Buy;11590138;69075862
19/06/2011;Foreigners;institutions;Sell;6402882;68046024
19/06/2011;Arabs;Retail;Buy;2247674;17947154
19/06/2011;Arabs;Retail;Sell;2975150;16080867
19/06/2011;Arabs;institutions;Buy;1217667;9603807
19/06/2011;Arabs;institutions;Sell;2410730;14513034
